State,Job Seq No.,Batch/Job No.,HPA MIPS No.,Job Name,Form Name,Ctl Docs,Extractions,Lodge QTY,Date,Time,Aust Post Lodgement No,Outstanding
NSW,S08.1005,44805,304286,S#BLP1A2,COLBECK,1032,0,1032,12-07-07,10:37,1295307,0
NSW,S08.1008,44806,304349,S#BLP2A5,BLASU19,6319,0,6319,12-07-07,09:10,1294959,0
NSW,S08.1011,44809,304345,S#BLP2B2,SU19YELLOW,6,0,6,12-07-07,10:39,1295312,0
NSW,S08.1019,44813,304346,S#BLP2C2,COLSU19,62,0,62,12-07-07,10:33,1295294,0
NSW,S08.1020,44814,304351,S#BL02T1,CALLCAT2,1,0,1,12-07-07,10:42,1295322,0
NSW,S08.1022,44816,304355,S#BL02C1,BLASTOLA,800,0,800,12-07-07,10:41,1295318,0
NSW,S08.1023,H28401,304341,S#PYCH39,SS360,220,0,220,12-07-07,10:38,1295309,0
NSW,S08.1024,H28721,304357,S#TXDA2,TXDA,171,0,171,12-07-07,10:31,1295291,0
NSW,S20.929,111016,302438,S#TXFY05,TXFY-DPID,25000,0,24993,12-07-07,13:33,1296444,7
QLD,A08.27,44048,126863,A#BLP1X3,BC48,3,0,3,12-07-07,10:41,1295329,0
QLD,A08.37,44054,126919,A#BLP2B7,SA220,191,0,191,12-07-07,15:01,1297304,0
QLD,A08.38,44055,126924,A#BLP2B8,SA12R,8,0,8,12-07-07,14:20,1296840,0
QLD,A08.39,44056,126990,A#BLP2B9,SA383,14,0,14,12-07-07,15:05,1297316,0
QLD,A09.1,44063,126951,A#BLP1X1,SU20,3,0,3,12-07-07,15:02,1297305,0
QLD,B07.27,45916,126734,B#BLP1B1,BLAOMR,15322,0,8,12-07-07,12:54,1296159,0
QLD,B07.32,45919,126783,B#BLP2A5,BLASU19,4713,0,3,12-07-07,12:55,1296162,0
QLD,B08.16,45939,126859,B#BLP3C2,CCB-AUTO,2889,0,1,12-07-07,12:57,1296165,0
QLD,B08.21,45944,126857,B#BLP1A1,CUST-ACCT,5097,0,5097,12-07-07,09:30,1295016,0
QLD,B08.37,45948,126867,B#BLP1B1,BLAOMR,14165,0,14162,12-07-07,09:05,1294963,3
QLD,B08.39,45949,126865,B#BLP1X3,BC48,2,0,2,12-07-07,10:42,1295331,0
QLD,B08.41,45950,126858,B#BLP1A2,COLBECK,911,0,911,12-07-07,15:36,1297654,0
QLD,B08.42,45951,126905,B#BLP2A5,BLASU19,5127,0,5126,12-07-07,11:36,1295701,1
QLD,B08.45,45954,126887,B#BLP2B2,SU19YELLOW,8,0,8,12-07-07,14:15,1296710,0
QLD,B08.49,45955,126892,B#BLP2B7,SA220,12,0,12,12-07-07,14:15,1296712,0
QLD,B08.50,45956,126898,B#BLP2B8,SA12R,1,0,1,12-07-07,14:17,1296830,0
QLD,B08.51,45957,126893,B#BLP2B9,SA383,15,0,15,12-07-07,10:43,1295334,0
QLD,B08.53,45958,126889,B#BLP2C2,COLSU19,34,0,34,12-07-07,15:36,1297655,0
QLD,B08.56,45960,126909,B#BL02C1,BLASTOLA,806,0,806,12-07-07,15:39,1297661,0
QLD,B08.57,H28311,126902,B#PYCH39,SS360,242,0,242,12-07-07,08:06,1294827,0
QLD,B08.58,H28681,126930,B#PYND02,TPO,2259,0,2259,12-07-07,15:17,1297472,0
QLD,B08.61,H28751,126928,B#TXDA2,TXDA,316,0,316,12-07-07,15:39,1297662,0
QLD,B09.2,45964,126953,B#BLP1X1,SU20,4,0,4,12-07-07,15:02,1297308,0
QLD,B09.26,H29011,126966,B#CODR3,CODR3,560,0,560,12-07-07,15:17,1297469,0
QLD,B20.64,021008,126011,B#TXFY05,TXFY-DPID,25000,0,16,12-07-07,14:11,1296708,0
QLD,B20.68,021012,126274,B#TXFY05,TXFY-DPID,25000,0,25000,12-07-07,09:13,1294964,0
QLD,B20.72,020003,126632,B#TXFY06,TXFY-NON_DPID,15480,0,15472,12-07-07,12:09,1295932,8
QLD,D08.01,H28301,126901,D#PYCH39,SS360,206,0,206,12-07-07,08:02,1294826,0
QLD,G07.25,45547,126739,G#BLP1B1,BLAOMR,21100,0,2,12-07-07,12:55,1296160,0
QLD,G07.30,45550,126784,G#BLP2A5,BLASU19,5372,0,1,12-07-07,12:55,1296163,0
